iteration	epoch	batch	time/img	loss_rgb	loss_normal	loss_laplacian	loss_perceptual	loss_uniform	loss_neighbor	loss_total	prop_head0	prop_head1	prop_head2	prop_head3	prop_head4	prop_head5
70000	28	610	0.013176	0.011037	0.000281	0.000090	0.014473	0.000355	0.025422	0.051658	0.166651	0.165158	0.168120	0.161955	0.169714	0.168401
72000	29	40	0.013177	0.010913	0.000291	0.000091	0.014374	0.000348	0.025351	0.051368	0.166854	0.167026	0.166510	0.162884	0.166167	0.170558
74000	29	2040	0.013245	0.010870	0.000292	0.000091	0.014338	0.000344	0.025174	0.051108	0.167063	0.164281	0.170344	0.160500	0.165906	0.171906
76000	30	1470	0.013420	0.010808	0.000282	0.000091	0.014236	0.000339	0.025016	0.050772	0.165971	0.164002	0.169988	0.165471	0.164119	0.170449
78000	31	900	0.013401	0.010841	0.000279	0.000091	0.014273	0.000337	0.025169	0.050989	0.164776	0.164221	0.170285	0.164674	0.168253	0.167792
80000	32	330	0.013230	0.010719	0.000285	0.000091	0.014179	0.000338	0.024882	0.050494	0.165158	0.165854	0.171809	0.163564	0.164244	0.169370
82000	32	2330	0.013392	0.010794	0.000287	0.000091	0.014199	0.000340	0.024979	0.050691	0.166000	0.163969	0.170781	0.164937	0.165063	0.169250
84000	33	1760	0.013148	0.010741	0.000293	0.000092	0.014163	0.000337	0.024970	0.050596	0.165268	0.163869	0.168667	0.164369	0.168065	0.169761
86000	34	1190	0.013203	0.010665	0.000290	0.000091	0.014078	0.000348	0.024702	0.050175	0.162509	0.165659	0.172129	0.164518	0.165237	0.169949
88000	35	620	0.013422	0.010681	0.000290	0.000092	0.014044	0.000353	0.024721	0.050182	0.166167	0.164244	0.167409	0.163799	0.168972	0.169410
90000	36	50	0.013582	0.010533	0.000292	0.000092	0.013949	0.000344	0.024532	0.049741	0.163220	0.162619	0.172481	0.163306	0.167597	0.170777
92000	36	2050	0.013280	0.010537	0.000291	0.000092	0.013930	0.000337	0.024467	0.049654	0.165187	0.165813	0.169719	0.161469	0.167219	0.170594
94000	37	1480	0.013140	0.010590	0.000296	0.000093	0.013954	0.000344	0.024482	0.049759	0.163877	0.166276	0.173473	0.163392	0.164932	0.168050
96000	38	910	0.013089	0.010599	0.000294	0.000093	0.013933	0.000339	0.024594	0.049853	0.165612	0.165979	0.170316	0.162838	0.165604	0.169652
98000	39	340	0.013252	0.010561	0.000290	0.000093	0.013896	0.000342	0.024592	0.049774	0.167604	0.162306	0.172231	0.166471	0.163533	0.167854
100000	39	2340	0.013389	0.010698	0.000294	0.000092	0.013991	0.000336	0.024643	0.050054	0.166344	0.164344	0.172125	0.162500	0.165813	0.168875
102000	40	1770	0.013383	0.010639	0.000300	0.000092	0.013955	0.000337	0.024632	0.049955	0.165909	0.166002	0.171926	0.161150	0.167018	0.167995
